v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.1 1.073532746455124e-06 1.7143783406214203e-24 1.073532746455124e-06 0.5000000000000001 0.0 0.0 0.0 0.0 -1.073532746454865e-06 -1.3444069122051403e-33 -1.073532746454865e-06 0.0 -5.0286001733433954e-21 -1.963662991929008e-21 -6.992263165272403e-21
0.1 1.3003123780619176e-06 1.7150444282889743e-24 1.3003123780619176e-06 0.5250000000000001 0.0 0.0 0.0 0.0 -1.3003123780671893e-06 -1.625019953254637e-33 -1.3003123780671893e-06 0.0 -5.036132879545613e-21 -1.8953360751756185e-21 -6.931468954721231e-21
0.1 1.5424884455498154e-06 1.715756720053899e-24 1.5424884455498154e-06 0.5500000000000002 0.0 0.0 0.0 0.0 -1.5424884455531923e-06 -1.9244293746689814e-33 -1.5424884455531923e-06 0.0 -5.044015113738632e-21 -1.9542832958191398e-21 -6.998298409557771e-21
0.1 1.7976200071189397e-06 1.7165079618015636e-24 1.7976200071189397e-06 0.5750000000000002 0.0 0.0 0.0 0.0 -1.7976200071203386e-06 -2.2396403238186578e-33 -1.7976200071203386e-06 0.0 -5.052179086347664e-21 -1.8694206221090138e-21 -6.921599708456678e-21
0.1 2.063476767336742e-06 1.717291522268193e-24 2.063476767336742e-06 0.6000000000000002 0.0 0.0 0.0 0.0 -2.0634767673375963e-06 -2.5679061116216474e-33 -2.0634767673375963e-06 0.0 -5.0605642733608434e-21 -1.91227558763004e-21 -6.972839860990884e-21
0.1 2.338064235341016e-06 1.7181014680447558e-24 2.338064235341016e-06 0.6250000000000002 0.0 0.0 0.0 0.0 -2.3380642353412794e-06 -2.906764325045855e-33 -2.3380642353412794e-06 0.0 -5.069117695156674e-21 -2.0134984287271926e-21 -7.082616123883867e-21
0.1 2.619629215249872e-06 1.718932580296504e-24 2.619629215249872e-06 0.6500000000000002 0.0 0.0 0.0 0.0 -2.6196292152502754e-06 -3.254067058340137e-33 -2.6196292152502754e-06 0.0 -5.077793750790241e-21 -1.861622987338454e-21 -6.939416738128695e-21
0.1 2.906652880403814e-06 1.7197803346855025e-24 2.906652880403814e-06 0.6750000000000003 0.0 0.0 0.0 0.0 -2.9066528804044076e-06 -3.607950865454938e-33 -2.9066528804044076e-06 0.0 -5.0865537685242675e-21 -2.039780741370373e-21 -7.12633450989464e-21
0.1 3.1978358801991584e-06 1.7206408576436026e-24 3.1978358801991584e-06 0.7000000000000003 0.0 0.0 0.0 0.0 -3.197835880198225e-06 -3.966812950472169e-33 -3.197835880198225e-06 0.0 -5.0953653825702285e-21 -1.9177872088697777e-21 -7.013152591440006e-21
0.1 3.492078570920097e-06 1.7215108681221794e-24 3.492078570920097e-06 0.7250000000000003 0.0 0.0 0.0 0.0 -3.4920785709190947e-06 -4.329305238508515e-33 -3.4920785709190947e-06 0.0 -5.104201818767603e-21 -1.8947653528519997e-21 -6.998967171619603e-21
