v(drain) ie(drain) ih(drain) it(drain) v(gate) ie(gate) ih(gate) it(gate) v(source) ie(source) ih(source) it(source) v(body) ie(body) ih(body) it(body)
0.1 7.727972984747445e-06 1.734162781519404e-24 7.727972984747445e-06 0.8999999999999999 0.0 0.0 0.0 0.0 -7.72797298474913e-06 -9.556990180524338e-33 -7.72797298474913e-06 0.0 -5.9504301001466644e-21 -1.907890484562759e-21 -7.858320584709424e-21
0.1 9.205205103211356e-06 1.7385734739283142e-24 9.205205103211356e-06 0.9999999999999999 0.0 0.0 0.0 0.0 -9.205205103211617e-06 -1.1373286348607555e-32 -9.205205103211617e-06 0.0 -5.989195867158566e-21 -2.0314446901293764e-21 -8.020640557287942e-21
0.2 4.764240769918533e-12 1.7476988488024763e-24 4.764240769920281e-12 -0.1 0.0 0.0 0.0 0.0 -4.7642415699859236e-12 -1.7828553845534218e-36 -4.7642415699859236e-12 0.0 -6.278588335461601e-21 -3.2147761194331276e-21 -9.493364454894728e-21
0.2 6.405959188599915e-11 1.7476491661741103e-24 6.40595918860009e-11 0.0 0.0 0.0 0.0 0.0 -6.405959012543632e-11 -2.927095533546749e-36 -6.405959012543632e-11 0.0 -6.280074280519925e-21 -3.1881116979363642e-21 -9.468185978456289e-21
0.2 8.461628819684295e-10 1.7476023417693404e-24 8.461628819684313e-10 0.1 0.0 0.0 0.0 0.0 -8.461628823032014e-10 -5.7015512724592415e-36 -8.461628823032014e-10 0.0 -6.281870836083045e-21 -3.1352145088835624e-21 -9.417085344966608e-21
0.2 1.0595403415277322e-08 1.7475834733736494e-24 1.0595403415277324e-08 0.2 0.0 0.0 0.0 0.0 -1.0595403415382469e-08 -2.100399238120582e-35 -1.0595403415382469e-08 0.0 -6.284474325028853e-21 -3.1491971176449238e-21 -9.433671442673777e-21
0.2 1.0923386309247771e-07 1.747836011029307e-24 1.0923386309247771e-07 0.30000000000000004 0.0 0.0 0.0 0.0 -1.0923386309255446e-07 -1.4968217514621565e-34 -1.0923386309255446e-07 0.0 -6.2907874970185375e-21 -3.189922871930059e-21 -9.480710368948596e-21
0.2 6.596173545855789e-07 1.7494657216505012e-24 6.596173545855789e-07 0.4 0.0 0.0 0.0 0.0 -6.596173545854025e-07 -8.416617591638219e-34 -6.596173545854025e-07 0.0 -6.311061140884548e-21 -3.133245698468646e-21 -9.444306839353194e-21
0.2 2.1187587170925638e-06 1.7538709150440375e-24 2.1187587170925638e-06 0.5 0.0 0.0 0.0 0.0 -2.1187587170921513e-06 -2.6583650118524207e-33 -2.1187587170921513e-06 0.0 -6.3560216286273904e-21 -3.1831739505193e-21 -9.53919557914669e-21
0.2 4.502226673038568e-06 1.7611173210476276e-24 4.502226673038568e-06 0.6 0.0 0.0 0.0 0.0 -4.502226673038593e-06 -5.618044830409917e-33 -4.502226673038593e-06 0.0 -6.424442704125949e-21 -3.3744014846620017e-21 -9.79884418878795e-21
0.2 7.480711041773886e-06 1.770221509527166e-24 7.480711041773886e-06 0.7 0.0 0.0 0.0 0.0 -7.480711041772775e-06 -9.315055399658901e-33 -7.480711041772775e-06 0.0 -6.506426342758204e-21 -3.316977508393647e-21 -9.823403851151852e-21
0.2 1.0669656006711124e-05 1.7800178762230367e-24 1.0669656006711124e-05 0.7999999999999999 0.0 0.0 0.0 0.0 -1.0669656006791336e-05 -1.3273611616004445e-32 -1.0669656006791336e-05 0.0 -6.5913436907262465e-21 -3.3417586482046517e-21 -9.933102338930898e-21
0.2 1.3824298475655352e-05 1.7897541615545174e-24 1.3824298475655352e-05 0.8999999999999999 0.0 0.0 0.0 0.0 -1.3824298475665989e-05 -1.7189794348060253e-32 -1.3824298475665989e-05 0.0 -6.672960165232846e-21 -3.333891983313921e-21 -1.0006852148546767e-20
0.2 1.6844935205681176e-05 1.7991168650748815e-24 1.6844935205681176e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -1.68449352056827e-05 -2.0939027627902815e-32 -1.68449352056827e-05 0.0 -6.74910893311039e-21 -3.401293543220568e-21 -1.015040247633096e-20
0.3 6.289693264029723e-12 1.7487350104361036e-24 6.289693264031472e-12 -0.1 0.0 0.0 0.0 0.0 -6.28969373371101e-12 -2.3826448968499764e-36 -6.28969373371101e-12 0.0 -6.730956580341193e-21 -4.415379342331301e-21 -1.1146335922672494e-20
0.3 8.441953296159411e-11 1.7486846494052738e-24 8.441953296159585e-11 0.0 0.0 0.0 0.0 0.0 -8.441953276969953e-11 -3.907187625419656e-36 -8.441953276969953e-11 0.0 -6.732785341775984e-21 -4.2393439389072705e-21 -1.0972129280683254e-20
0.3 1.109688271985568e-09 1.748637859002787e-24 1.1096882719855696e-09 0.1 0.0 0.0 0.0 0.0 -1.1096882714075126e-09 -7.535904487938887e-36 -1.1096882714075126e-09 0.0 -6.7349482058750254e-21 -4.3242906814215575e-21 -1.1059238887296583e-20
0.3 1.3725940148009648e-08 1.748627057890759e-24 1.372594014800965e-08 0.2 0.0 0.0 0.0 0.0 -1.3725940147049165e-08 -2.736040679207055e-35 -1.3725940147049165e-08 0.0 -6.7379609944458486e-21 -4.2185377284732156e-21 -1.0956498722919064e-20
0.3 1.3748009372409065e-07 1.748955617213118e-24 1.3748009372409065e-07 0.30000000000000004 0.0 0.0 0.0 0.0 -1.374800937231108e-07 -1.8902668640291595e-34 -1.374800937231108e-07 0.0 -6.745024908186896e-21 -4.232807253438404e-21 -1.09778321616253e-20
0.3 8.032471939776749e-07 1.750937464913475e-24 8.032471939776749e-07 0.4 0.0 0.0 0.0 0.0 -8.032471939764326e-07 -1.0272525812611104e-33 -8.032471939764326e-07 0.0 -6.76780082696931e-21 -4.3295190737445985e-21 -1.1097319900713908e-20
0.3 2.5517074629081322e-06 1.7562298232580965e-24 2.5517074629081322e-06 0.5 0.0 0.0 0.0 0.0 -2.551707462907125e-06 -3.208143502491044e-33 -2.551707462907125e-06 0.0 -6.819399498373858e-21 -4.362145795173174e-21 -1.1181545293547032e-20
0.3 5.47810405286751e-06 1.7651517625492812e-24 5.47810405286751e-06 0.6 0.0 0.0 0.0 0.0 -5.478104052867179e-06 -6.851766632330386e-33 -5.478104052867179e-06 0.0 -6.900778847551903e-21 -4.428154867685748e-21 -1.1328933715237651e-20
0.3 9.351087824390847e-06 1.7770378844014414e-24 9.351087824390847e-06 0.7 0.0 0.0 0.0 0.0 -9.351087824389897e-06 -1.1678778867646496e-32 -9.351087824389897e-06 0.0 -7.004161844247778e-21 -4.4730465559383616e-21 -1.147720840018614e-20
0.3 1.3796082551236264e-05 1.7907750793781993e-24 1.3796082551236264e-05 0.7999999999999999 0.0 0.0 0.0 0.0 -1.3796082551235485e-05 -1.7228880327187934e-32 -1.3796082551235485e-05 0.0 -7.118403775569934e-21 -4.5211242640070824e-21 -1.1639528039577016e-20
0.3 1.8426520887824213e-05 1.8051873366493128e-24 1.8426520887824213e-05 0.8999999999999999 0.0 0.0 0.0 0.0 -1.8426520887864996e-05 -2.3019976578200643e-32 -1.8426520887864996e-05 0.0 -7.233082118024486e-21 -4.577961999026733e-21 -1.1811044117051218e-20
0.3 2.298276609468059e-05 1.819466237719727e-24 2.298276609468059e-05 0.9999999999999999 0.0 0.0 0.0 0.0 -2.2982766094691643e-05 -2.872440439493001e-32 -2.2982766094691643e-05 0.0 -7.341969932802054e-21 -4.5383603951782876e-21 -1.1880330327980342e-20
0.4 8.08930762045168e-12 1.749021226589447e-24 8.089307620453429e-12 -0.1 0.0 0.0 0.0 0.0 -8.089321435464862e-12 -3.086371457812521e-36 -8.089321435464862e-12 0.0 -7.193411161556358e-21 -5.480071931176878e-21 -1.2673483092733236e-20
0.4 1.0800100736315605e-10 1.748970191335922e-24 1.080010073631578e-10 0.0 0.0 0.0 0.0 0.0 -1.0800101924404668e-10 -5.04905313588128e-36 -1.0800101924404668e-10 0.0 -7.195481271079623e-21 -5.321488889533667e-21 -1.251697016061329e-20
0.4 1.4072146408120562e-09 1.7489235224300745e-24 1.4072146408120578e-09 0.1 0.0 0.0 0.0 0.0 -1.407214653310581e-09 -9.629977397323328e-36 -1.407214653310581e-09 0.0 -7.197876015807954e-21 -5.291603767050705e-21 -1.2489479782858658e-20
0.4 1.7120613907282825e-08 1.7489214792214543e-24 1.7120613907282828e-08 0.2 0.0 0.0 0.0 0.0 -1.7120613920595906e-08 -3.4315368029246427e-35 -1.7120613920595906e-08 0.0 -7.201125974399975e-21 -5.127826254734156e-21 -1.2328952229134131e-20
